State,Sector,GDP
Alabama,"Motor vehicle, body, trailer, and parts manufacturing",$3246
Alabama,Petroleum and coal products manufacturing,$3027
Alabama,Chemical manufacturing,$2972
Alabama,Primary metal manufacturing,$2744
Alabama,Paper manufacturing,$2574
Alabama,Food and beverage and tobacco product manufacturing,$1898
Alabama,Fabricated metal product manufacturing,$1842
Alabama,Other transportation equipment manufacturing,$1832
Alabama,Plastics and rubber products manufacturing,$1316
Alabama,Computer and electronic product manufacturing,$1174
Alabama,Machinery manufacturing,$1076
Alabama,Wood product manufacturing,$962
Alabama,Furniture and related product manufacturing,$685
Alabama,Nonmetallic mineral product manufacturing,$607
Alabama,Textile mills and textile product mills,$578
Alabama,"Electrical equipment, appliance, and component manufacturing",$544
Alabama,Miscellaneous manufacturing,$456
Alabama,Apparel and leather and allied product manufacturing,$235
Alabama,Printing and related support activities,$159
Alaska,Petroleum and coal products manufacturing,$833
Alaska,Food and beverage and tobacco product manufacturing,$493
Alaska,Nonmetallic mineral product manufacturing,$47
Alaska,Fabricated metal product manufacturing,$37
Alaska,Other transportation equipment manufacturing,$34
Alaska,Computer and electronic product manufacturing,$19
Alaska,Printing and related support activities,$16
Alaska,Plastics and rubber products manufacturing,$13
Alaska,Machinery manufacturing,$10
Alaska,Miscellaneous manufacturing,$8
Alaska,Chemical manufacturing,$8
Alaska,Wood product manufacturing,$7
Alaska,Furniture and related product manufacturing,$7
Alaska,Textile mills and textile product mills,$6
Alaska,Primary metal manufacturing,$3
Alaska,"Motor vehicle, body, trailer, and parts manufacturing",$2
Alaska,"Electrical equipment, appliance, and component manufacturing",$2
Alaska,Paper manufacturing,$1
Alaska,Apparel and leather and allied product manufacturing,$0
Arizona,Computer and electronic product manufacturing,$6940
Arizona,Other transportation equipment manufacturing,$3567
Arizona,Food and beverage and tobacco product manufacturing,$1571
Arizona,Miscellaneous manufacturing,$1313
Arizona,Chemical manufacturing,$1213
Arizona,Fabricated metal product manufacturing,$1203
Arizona,Primary metal manufacturing,$751
Arizona,Machinery manufacturing,$672
Arizona,Nonmetallic mineral product manufacturing,$492
Arizona,Plastics and rubber products manufacturing,$390
Arizona,Printing and related support activities,$357
Arizona,Furniture and related product manufacturing,$303
Arizona,"Electrical equipment, appliance, and component manufacturing",$269
Arizona,Petroleum and coal products manufacturing,$265
Arizona,Paper manufacturing,$238
Arizona,"Motor vehicle, body, trailer, and parts manufacturing",$234
Arizona,Wood product manufacturing,$162
Arizona,Textile mills and textile product mills,$74
Arizona,Apparel and leather and allied product manufacturing,$25
Arkansas,Food and beverage and tobacco product manufacturing,$2932
